created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2019-11-20 11:20:54 +08,52,28.80,82.20,2.35,10,"50

",,,,
2019-11-20 11:23:58 +08,53,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 11:24:59 +08,54,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:27:02 +08,55,28.80,82.70,2.35,10,"50

",,,,
2019-11-20 11:29:07 +08,56,28.80,82.20,2.35,10,"50

",,,,
2019-11-20 11:31:10 +08,57,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:32:11 +08,58,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:33:13 +08,59,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:35:16 +08,60,28.80,82.60,2.35,10,"50

",,,,
2019-11-20 11:36:17 +08,61,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:37:19 +08,62,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:38:20 +08,63,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:39:22 +08,64,28.80,82.50,3.03,10,"50

",,,,
2019-11-20 11:40:23 +08,65,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:43:29 +08,66,28.90,82.70,2.93,10,"50

",,,,
2019-11-20 11:45:32 +08,67,28.90,82.70,2.35,10,"50

",,,,
2019-11-20 11:46:33 +08,68,28.90,82.80,2.35,10,"50

",,,,
2019-11-20 11:48:35 +08,69,28.90,82.80,2.35,10,"50

",,,,
2019-11-20 11:49:37 +08,70,28.90,82.90,2.35,10,"50

",,,,
2019-11-20 11:50:38 +08,71,28.80,82.80,2.35,10,"50

",,,,
2019-11-20 11:52:44 +08,72,28.80,82.80,2.35,10,"50

",,,,
2019-11-20 11:53:45 +08,73,28.80,82.80,2.35,10,"50

",,,,
2019-11-20 11:54:46 +08,74,28.80,82.80,2.35,10,"50

",,,,
2019-11-20 11:56:49 +08,75,28.80,82.60,2.35,10,"50

",,,,
2019-11-20 11:58:51 +08,76,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 11:59:53 +08,77,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 12:01:55 +08,78,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 12:02:56 +08,79,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 12:03:58 +08,80,28.80,82.30,2.35,10,"50

",,,,
2019-11-20 12:06:00 +08,81,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 12:07:02 +08,82,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 12:08:03 +08,83,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 12:09:05 +08,84,28.80,82.40,2.93,10,"50

",,,,
2019-11-20 12:10:07 +08,85,28.80,82.40,2.35,10,"50

",,,,
2019-11-20 12:11:08 +08,86,28.80,82.50,2.35,10,"50

",,,,
2019-11-20 12:12:09 +08,87,28.80,82.30,2.35,10,"50

",,,,
2019-11-20 12:15:13 +08,88,28.80,81.50,2.35,10,"50

",,,,
2019-11-20 12:16:15 +08,89,28.80,81.10,2.35,10,"50

",,,,
2019-11-20 12:17:16 +08,90,28.80,80.80,2.35,10,"50

",,,,
2019-11-20 12:18:17 +08,91,28.80,80.90,2.93,11,"50

",,,,
2019-11-20 12:19:19 +08,92,28.90,81.60,2.35,11,"50

",,,,
2019-11-20 12:20:20 +08,93,28.90,81.10,2.35,11,"50

",,,,
2019-11-20 12:21:21 +08,94,28.90,80.90,2.35,11,"50

",,,,
2019-11-20 12:24:25 +08,95,28.90,80.10,2.35,11,"50

",,,,
2019-11-20 12:25:26 +08,96,28.90,80.20,2.35,11,"50

",,,,
2019-11-20 12:28:30 +08,97,29.00,80.80,2.35,11,"50

",,,,
2019-11-20 12:31:34 +08,98,29.00,80.80,2.15,11,"50

",,,,
2019-11-20 12:32:35 +08,99,29.00,80.70,2.35,11,"50

",,,,
2019-11-20 12:33:36 +08,100,29.00,80.80,2.15,11,"50

",,,,
2019-11-20 12:35:39 +08,101,29.00,81.00,2.35,11,"50

",,,,
2019-11-20 12:36:40 +08,102,29.00,81.10,2.35,11,"50

",,,,
2019-11-20 12:37:41 +08,103,29.00,81.20,2.35,11,"50

",,,,
2019-11-20 12:38:43 +08,104,29.00,81.10,2.15,11,"50

",,,,
2019-11-20 12:41:51 +08,105,29.10,80.90,2.15,11,"50

",,,,
2019-11-20 12:43:53 +08,106,29.10,80.60,2.93,11,"50

",,,,
2019-11-20 12:44:54 +08,107,29.10,80.40,2.15,11,"50

",,,,
2019-11-20 12:45:56 +08,108,29.10,80.40,2.15,11,"50

",,,,
2019-11-20 12:48:59 +08,109,29.10,79.10,2.35,11,"50

",,,,
2019-11-20 12:50:01 +08,110,29.20,79.30,2.15,11,"50

",,,,
2019-11-20 12:53:10 +08,111,29.10,79.70,2.35,11,"50

",,,,
2019-11-20 12:54:11 +08,112,29.10,80.10,2.15,11,"50

",,,,
2019-11-20 12:55:13 +08,113,29.10,79.80,2.15,11,"50

",,,,
2019-11-20 12:57:18 +08,114,29.10,79.40,2.93,10,"50

",,,,
2019-11-20 12:58:19 +08,115,29.10,79.30,2.15,11,"50

",,,,
2019-11-20 12:59:21 +08,116,29.10,79.40,2.15,10,"50

",,,,
2019-11-20 13:00:22 +08,117,29.10,79.40,2.15,11,"50

",,,,
2019-11-20 13:02:25 +08,118,29.10,79.50,2.15,10,"50

",,,,
2019-11-20 13:03:26 +08,119,29.10,79.40,2.15,10,"50

",,,,
2019-11-20 13:04:30 +08,120,29.10,78.90,2.15,10,"50

",,,,
2019-11-20 13:05:32 +08,121,29.10,79.00,2.93,10,"50

",,,,
2019-11-20 13:06:33 +08,122,29.10,79.00,2.15,11,"50

",,,,
2019-11-20 13:07:34 +08,123,29.20,78.80,2.15,10,"50

",,,,
2019-11-20 13:08:36 +08,124,29.20,78.90,2.15,10,"50

",,,,
2019-11-20 13:11:39 +08,125,29.20,78.60,2.15,11,"50

",,,,
2019-11-20 13:12:44 +08,126,29.20,78.30,2.15,11,"50

",,,,
2019-11-20 13:14:46 +08,127,29.20,78.50,2.15,10,"50

",,,,
2019-11-20 13:15:47 +08,128,29.20,78.40,2.15,10,"50

",,,,
2019-11-20 13:16:49 +08,129,29.20,78.10,2.15,10,"50

",,,,
2019-11-20 13:17:50 +08,130,29.30,78.50,2.15,10,"50

",,,,
2019-11-20 13:19:53 +08,131,29.30,78.50,2.15,10,"50

",,,,
2019-11-20 13:20:54 +08,132,29.30,78.50,2.15,10,"50

",,,,
2019-11-20 13:21:55 +08,133,29.30,78.60,2.15,10,"50

",,,,
2019-11-20 13:23:58 +08,134,29.30,78.80,2.15,10,"50

",,,,
2019-11-20 13:26:00 +08,135,29.30,79.10,2.15,10,"50

",,,,
2019-11-20 13:28:03 +08,136,29.30,79.40,2.15,10,"50

",,,,
2019-11-20 13:29:04 +08,137,29.30,79.50,2.15,10,"50

",,,,
2019-11-20 13:31:10 +08,138,29.30,79.90,2.93,10,"50

",,,,
2019-11-20 13:32:11 +08,139,29.30,79.90,2.15,10,"50

",,,,
2019-11-20 13:33:12 +08,140,29.30,80.00,2.15,10,"50

",,,,
2019-11-20 13:34:14 +08,141,29.30,80.10,2.15,10,"50

",,,,
2019-11-20 13:35:15 +08,142,29.30,80.10,2.93,10,"50

",,,,
2019-11-20 13:37:20 +08,143,29.30,80.20,2.15,10,"50

",,,,
2019-11-20 13:38:22 +08,144,29.30,80.20,2.15,11,"50

",,,,
2019-11-20 13:39:23 +08,145,29.30,80.10,2.15,13,"60

",,,,
2019-11-20 13:41:25 +08,146,29.20,80.30,2.15,13,"60

",,,,
2019-11-20 13:42:27 +08,147,29.30,80.60,2.15,13,"60

",,,,
2019-11-20 13:43:28 +08,148,29.30,80.70,2.15,13,"60

",,,,
2019-11-20 13:45:30 +08,149,29.30,80.70,2.15,13,"60

",,,,
2019-11-20 13:46:35 +08,150,29.30,80.70,2.15,13,"60

",,,,
2019-11-20 13:47:36 +08,151,29.30,80.70,2.15,13,"60

",,,,
2019-11-20 13:49:42 +08,152,29.30,80.80,2.15,13,"60

",,,,
2019-11-20 13:50:43 +08,153,29.30,80.80,2.15,13,"60

",,,,
2019-11-20 13:51:44 +08,154,29.30,80.80,2.15,13,"60

",,,,
2019-11-20 13:53:47 +08,155,29.30,80.80,2.15,13,"60

",,,,
2019-11-20 13:54:48 +08,156,29.40,81.10,2.15,13,"60

",,,,
2019-11-20 13:55:49 +08,157,29.40,81.20,2.15,13,"60

",,,,
2019-11-20 13:57:52 +08,158,29.40,81.40,2.93,13,"60

",,,,
2019-11-20 13:58:53 +08,159,29.40,81.20,2.15,14,"70

",,,,
2019-11-20 13:59:55 +08,160,29.40,81.40,2.15,13,"60

",,,,
2019-11-20 14:00:56 +08,161,29.40,81.20,2.15,13,"60

",,,,
2019-11-20 14:02:59 +08,162,29.40,81.20,2.15,14,"70

",,,,
2019-11-20 14:04:01 +08,163,29.40,81.30,2.15,14,"70

",,,,
2019-11-20 14:05:02 +08,164,29.40,80.80,2.15,13,"60

",,,,
2019-11-20 14:06:04 +08,165,29.50,80.80,2.93,13,"60

",,,,
2019-11-20 14:07:05 +08,166,29.50,81.00,2.15,13,"60

",,,,
2019-11-20 14:08:07 +08,167,29.50,81.20,2.15,14,"70

",,,,
2019-11-20 14:09:08 +08,168,29.50,81.40,2.15,13,"60

",,,,
2019-11-20 14:11:10 +08,169,29.50,81.40,2.15,13,"60

",,,,
2019-11-20 14:12:12 +08,170,29.50,81.50,2.15,14,"70

",,,,
2019-11-20 14:13:13 +08,171,29.50,81.50,2.15,13,"60

",,,,
2019-11-20 14:14:14 +08,172,29.50,81.50,2.93,14,"70

",,,,
2019-11-20 14:15:16 +08,173,29.50,81.50,2.15,14,"70

",,,,
2019-11-20 14:16:17 +08,174,29.50,81.50,2.15,14,"70

",,,,
2019-11-20 14:17:21 +08,175,29.50,81.50,2.15,14,"70

",,,,
2019-11-20 14:18:23 +08,176,29.50,81.40,2.15,13,"60

",,,,
2019-11-20 14:20:25 +08,177,29.50,81.40,2.15,13,"60

",,,,
2019-11-20 14:21:27 +08,178,29.50,81.40,2.15,14,"70

",,,,
2019-11-20 14:22:28 +08,179,29.50,81.30,2.15,13,"60

",,,,
2019-11-20 14:25:32 +08,180,29.60,81.10,2.15,13,"60

",,,,
2019-11-20 14:26:33 +08,181,29.60,81.20,2.15,13,"60

",,,,
2019-11-20 14:28:35 +08,182,29.50,81.10,2.15,14,"70

",,,,
2019-11-20 14:29:37 +08,183,29.60,81.30,2.15,13,"60

",,,,
2019-11-20 14:30:38 +08,184,29.60,81.30,2.15,14,"70

",,,,
2019-11-20 14:31:39 +08,185,29.60,81.40,2.93,14,"70

",,,,
2019-11-20 14:32:41 +08,186,29.60,81.40,2.15,14,"70

",,,,
2019-11-20 14:33:42 +08,187,29.60,81.20,2.15,13,"60

",,,,
2019-11-20 14:34:43 +08,188,29.60,81.10,2.15,13,"60

",,,,
2019-11-20 14:35:45 +08,189,29.60,81.10,2.15,13,"60

",,,,
2019-11-20 14:37:47 +08,190,29.60,81.10,2.15,13,"60

",,,,
2019-11-20 14:39:50 +08,191,29.60,81.20,2.15,14,"70

",,,,
2019-11-20 14:41:52 +08,192,29.60,81.30,2.15,14,"70

",,,,
2019-11-20 14:42:54 +08,193,29.60,81.30,2.15,14,"70

",,,,
2019-11-20 14:43:55 +08,194,29.60,81.30,2.15,14,"70

",,,,
2019-11-20 14:44:57 +08,195,29.60,81.30,2.93,14,"70

",,,,
2019-11-20 14:45:58 +08,196,29.60,81.40,2.15,14,"70

",,,,
2019-11-20 14:49:01 +08,197,29.60,81.40,2.15,14,"70

",,,,
2019-11-20 14:50:03 +08,198,29.70,81.40,2.15,13,"60

",,,,
2019-11-20 14:51:04 +08,199,29.60,81.40,2.15,14,"70

",,,,
2019-11-20 14:53:06 +08,200,29.60,81.30,2.15,13,"60

",,,,
2019-11-20 14:54:08 +08,201,29.70,81.20,2.15,13,"60

",,,,
2019-11-20 14:55:09 +08,202,29.70,81.20,2.15,13,"60

",,,,
2019-11-20 14:56:10 +08,203,29.70,81.00,2.15,13,"60

",,,,
2019-11-20 14:57:12 +08,204,29.70,80.90,2.15,14,"70

",,,,
2019-11-20 14:59:14 +08,205,29.70,80.90,2.15,13,"60

",,,,
2019-11-20 15:01:21 +08,206,29.70,81.00,2.15,14,"70

",,,,
2019-11-20 15:03:24 +08,207,29.70,80.90,2.15,14,"70

",,,,
2019-11-20 15:04:25 +08,208,29.70,80.90,2.15,14,"70

",,,,
2019-11-20 15:05:26 +08,209,29.70,80.90,2.15,14,"70

",,,,
2019-11-20 15:06:28 +08,210,29.70,81.00,2.93,13,"60

",,,,
2019-11-20 15:08:33 +08,211,29.70,81.10,2.15,15,"70

",,,,
2019-11-20 15:09:35 +08,212,29.70,81.20,2.15,15,"70

",,,,
2019-11-20 15:11:37 +08,213,29.70,81.10,2.15,15,"70

",,,,
2019-11-20 15:12:39 +08,214,29.80,81.20,2.15,15,"70

",,,,
2019-11-20 15:13:40 +08,215,29.80,81.20,2.15,15,"70

",,,,
2019-11-20 15:14:41 +08,216,29.80,81.20,2.15,15,"70

",,,,
2019-11-20 15:16:44 +08,217,29.80,81.00,2.15,15,"70

",,,,
2019-11-20 15:17:45 +08,218,29.80,80.80,2.15,15,"70

",,,,
2019-11-20 15:18:47 +08,219,29.80,80.10,2.15,15,"70

",,,,
2019-11-20 15:20:55 +08,220,29.70,78.20,2.15,15,"70

",,,,
2019-11-20 15:21:56 +08,221,29.70,78.50,2.15,15,"70

",,,,
2019-11-20 15:22:58 +08,222,29.70,78.10,2.15,15,"70

",,,,
2019-11-20 15:23:59 +08,223,29.70,78.30,2.93,15,"70

",,,,
2019-11-20 15:29:08 +08,224,29.60,78.10,2.15,15,"70

",,,,
2019-11-20 15:30:09 +08,225,29.60,78.40,2.15,15,"70

",,,,
2019-11-20 15:38:22 +08,226,29.60,78.10,2.15,18,"90

",,,,
2019-11-20 15:39:23 +08,227,29.60,78.20,2.15,18,"90

",,,,
2019-11-20 15:42:27 +08,228,29.70,78.00,2.15,18,"90

",,,,
2019-11-20 15:43:28 +08,229,29.60,78.20,2.15,18,"90

",,,,
2019-11-20 15:44:30 +08,230,29.60,78.30,2.15,18,"90

",,,,
2019-11-20 15:46:32 +08,231,29.60,78.80,2.15,18,"90

",,,,
2019-11-20 15:47:33 +08,232,29.60,78.80,2.35,18,"90

",,,,
2019-11-20 15:48:35 +08,233,29.60,78.80,2.35,18,"90

",,,,
2019-11-20 15:51:42 +08,234,29.70,78.80,2.35,18,"90

",,,,
2019-11-20 15:52:43 +08,235,29.60,78.60,2.35,18,"90

",,,,
2019-11-20 15:53:44 +08,236,29.60,78.50,2.35,18,"90

",,,,
2019-11-20 15:55:47 +08,237,29.60,78.00,2.35,18,"90

",,,,
2019-11-20 15:56:48 +08,238,29.60,78.00,2.35,18,"90

",,,,
2019-11-20 15:57:49 +08,239,29.60,77.70,2.35,18,"90

",,,,
2019-11-20 15:59:52 +08,240,29.60,77.20,2.93,18,"90

",,,,
2019-11-20 16:00:53 +08,241,29.60,77.10,2.93,18,"90

",,,,
2019-11-20 16:01:55 +08,242,29.60,77.00,2.93,18,"90

",,,,
2019-11-20 16:02:56 +08,243,29.60,77.10,3.71,18,"90

",,,,
2019-11-20 16:03:57 +08,244,29.60,76.90,3.13,18,"90

",,,,
2019-11-20 16:04:59 +08,245,29.60,76.90,3.23,19,"90

",,,,
2019-11-20 16:06:00 +08,246,29.60,76.90,3.23,18,"90

",,,,
2019-11-20 16:08:03 +08,247,29.70,77.40,3.23,18,"90

",,,,
2019-11-20 16:09:04 +08,248,29.70,77.60,3.23,18,"90

",,,,
2019-11-20 16:10:05 +08,249,29.70,77.70,3.23,18,"90

",,,,
2019-11-20 16:11:07 +08,250,29.60,77.80,3.23,19,"90

",,,,
2019-11-20 16:13:09 +08,251,29.70,78.20,3.13,18,"90

",,,,
2019-11-20 16:14:10 +08,252,29.70,78.30,3.13,19,"90

",,,,
2019-11-20 16:15:12 +08,253,29.70,78.40,2.83,19,"90

",,,,
2019-11-20 16:17:19 +08,254,29.60,78.00,2.74,19,"90

",,,,
2019-11-20 16:19:21 +08,255,29.60,78.80,2.74,19,"90

",,,,
2019-11-20 16:21:25 +08,256,29.50,79.80,2.74,19,"90

",,,,
2019-11-20 16:23:27 +08,257,29.50,80.80,2.64,19,"90

",,,,
2019-11-20 16:25:30 +08,258,29.40,80.80,2.64,19,"90

",,,,
2019-11-20 16:26:31 +08,259,29.40,80.80,2.64,19,"90

",,,,
2019-11-20 16:27:32 +08,260,29.30,80.80,2.64,19,"90

",,,,
2019-11-20 16:28:34 +08,261,29.30,80.50,2.64,19,"90

",,,,
2019-11-20 16:29:35 +08,262,29.30,80.00,3.13,19,"90

",,,,
2019-11-20 16:30:36 +08,263,29.30,80.00,2.64,19,"90

",,,,
2019-11-20 16:31:38 +08,264,29.20,79.90,2.64,19,"90

",,,,
2019-11-20 16:32:39 +08,265,29.20,80.20,2.64,19,"90

",,,,
2019-11-20 16:34:41 +08,266,29.20,80.60,2.64,19,"90

",,,,
2019-11-20 16:35:43 +08,267,29.30,81.00,2.64,19,"90

",,,,
2019-11-20 16:36:44 +08,268,29.30,81.40,2.64,19,"90

",,,,
2019-11-20 16:37:45 +08,269,29.30,81.50,2.64,19,"90

",,,,
2019-11-20 16:38:47 +08,270,29.30,81.60,2.74,21,"100

",,,,
2019-11-20 16:40:49 +08,271,29.30,81.60,2.74,21,"100

",,,,
2019-11-20 16:42:52 +08,272,29.30,81.80,2.74,21,"100

",,,,
2019-11-20 16:43:53 +08,273,29.30,82.00,2.74,21,"100

",,,,
2019-11-20 16:44:54 +08,274,29.30,82.30,2.74,21,"100

",,,,
2019-11-20 16:46:57 +08,275,29.30,82.40,2.74,21,"100

",,,,
2019-11-20 16:49:00 +08,276,29.30,82.50,2.64,-3,"0

",,,,
2019-11-20 16:50:01 +08,277,29.30,82.60,2.64,2,"10

",,,,
2019-11-20 16:52:03 +08,278,29.30,82.80,2.64,2,"10

",,,,
2019-11-20 16:53:05 +08,279,29.30,82.60,2.64,2,"10

",,,,
2019-11-20 16:54:06 +08,280,29.30,82.80,2.64,2,"10

",,,,
2019-11-20 16:57:12 +08,281,29.40,83.60,2.64,2,"10

",,,,
2019-11-20 16:58:14 +08,282,29.40,83.60,2.64,2,"10

",,,,
2019-11-20 16:59:15 +08,283,29.40,84.10,3.13,2,"10

",,,,
2019-11-20 17:00:16 +08,284,29.40,84.00,2.64,1,"0

",,,,
2019-11-20 17:01:18 +08,285,29.30,83.50,2.64,2,"10

",,,,
2019-11-20 17:02:19 +08,286,29.30,83.50,2.64,2,"10

",,,,
2019-11-20 17:03:20 +08,287,29.30,82.90,3.13,2,"10

",,,,
2019-11-20 17:06:24 +08,288,29.20,82.90,2.64,2,"10

",,,,
2019-11-20 17:07:25 +08,289,29.20,82.90,2.74,2,"10

",,,,
2019-11-20 17:09:27 +08,290,29.30,82.90,2.74,2,"10

",,,,
2019-11-20 17:10:29 +08,291,29.30,82.90,2.74,2,"10

",,,,
2019-11-20 17:11:30 +08,292,29.30,82.90,2.74,2,"10

",,,,
2019-11-20 17:13:33 +08,293,29.40,83.00,2.74,2,"10

",,,,
2019-11-20 17:14:34 +08,294,29.40,83.30,2.74,2,"10

",,,,
2019-11-20 17:15:35 +08,295,29.40,83.00,2.74,2,"10

",,,,
2019-11-20 17:16:38 +08,296,29.40,82.90,2.83,2,"10

",,,,
2019-11-20 17:17:39 +08,297,29.40,82.90,2.83,2,"10

",,,,
2019-11-20 17:18:40 +08,298,29.40,82.80,2.83,2,"10

",,,,
2019-11-20 17:19:42 +08,299,29.50,82.80,2.83,2,"10

",,,,
2019-11-20 17:21:44 +08,300,29.50,82.70,2.83,2,"10

",,,,
2019-11-20 17:22:46 +08,301,29.50,82.50,2.83,2,"10

",,,,
2019-11-20 17:23:47 +08,302,29.50,82.50,2.93,2,"10

",,,,
2019-11-20 17:25:52 +08,303,29.50,82.00,3.71,2,"10

",,,,
2019-11-20 17:26:54 +08,304,29.50,81.90,3.03,2,"10

",,,,
2019-11-20 17:27:55 +08,305,29.50,81.70,3.23,2,"10

",,,,
2019-11-20 17:28:56 +08,306,29.50,81.50,3.23,2,"10

",,,,
2019-11-20 17:29:58 +08,307,29.50,81.40,3.32,2,"10

",,,,
2019-11-20 17:30:59 +08,308,29.60,81.60,3.23,2,"10

",,,,
2019-11-20 17:32:01 +08,309,29.50,81.10,3.23,2,"10

",,,,
2019-11-20 17:33:02 +08,310,29.50,81.20,3.23,2,"10

",,,,
2019-11-20 17:36:10 +08,311,29.50,81.00,3.52,2,"10

",,,,
2019-11-20 17:37:11 +08,312,29.60,81.10,3.32,2,"10

",,,,
2019-11-20 17:38:13 +08,313,29.60,81.10,4.01,2,"10

",,,,
2019-11-20 17:39:14 +08,314,29.60,80.70,3.32,2,"10

",,,,
2019-11-20 17:40:15 +08,315,29.60,80.30,3.23,2,"10

",,,,
2019-11-20 17:41:17 +08,316,29.50,78.90,3.23,2,"10

",,,,
2019-11-20 17:42:18 +08,317,29.50,78.00,4.01,2,"10

",,,,
2019-11-20 17:43:19 +08,318,29.40,77.50,3.52,2,"10

",,,,
2019-11-20 17:44:21 +08,319,29.40,78.10,3.52,2,"10

",,,,
2019-11-20 17:45:22 +08,320,29.40,77.70,3.52,2,"10

",,,,
2019-11-20 17:46:23 +08,321,29.30,77.70,3.52,2,"10

",,,,
2019-11-20 17:48:26 +08,322,29.20,78.00,3.32,2,"10

",,,,
2019-11-20 17:49:27 +08,323,29.20,78.10,3.32,2,"10

",,,,
2019-11-20 17:50:29 +08,324,29.20,78.10,3.32,2,"10

",,,,
2019-11-20 17:51:30 +08,325,29.20,78.30,4.01,2,"10

",,,,
2019-11-20 17:52:31 +08,326,29.20,78.50,3.32,2,"10

",,,,
2019-11-20 17:53:33 +08,327,29.30,78.60,3.32,2,"10

",,,,
2019-11-20 17:54:34 +08,328,29.30,78.70,3.32,2,"10

",,,,
2019-11-20 17:56:37 +08,329,29.30,79.00,3.23,2,"10

",,,,
2019-11-20 17:57:38 +08,330,29.30,79.10,3.32,2,"10

",,,,
2019-11-20 17:58:39 +08,331,29.30,79.10,3.32,2,"10

",,,,
2019-11-20 18:00:42 +08,332,29.40,79.30,3.32,2,"10

",,,,
2019-11-20 18:01:43 +08,333,29.40,79.40,3.32,2,"10

",,,,
2019-11-20 18:02:44 +08,334,29.40,78.70,3.32,2,"10

",,,,
2019-11-20 18:05:48 +08,335,29.40,78.40,3.32,2,"10

",,,,
2019-11-20 18:06:50 +08,336,29.40,78.40,3.23,2,"10

",,,,
2019-11-20 18:09:53 +08,337,29.40,78.60,3.32,2,"10

",,,,
2019-11-20 18:10:55 +08,338,29.30,78.40,3.32,2,"10

",,,,
2019-11-20 18:11:56 +08,339,29.30,78.50,3.23,2,"10

",,,,
2019-11-20 18:13:58 +08,340,29.40,78.80,3.23,2,"10

",,,,
2019-11-20 18:15:00 +08,341,29.40,78.80,3.23,2,"10

",,,,
2019-11-20 18:16:01 +08,342,29.40,78.90,3.23,2,"10

",,,,
2019-11-20 18:18:05 +08,343,29.40,79.00,3.23,2,"10

",,,,
2019-11-20 18:19:06 +08,344,29.40,79.00,3.32,2,"10

",,,,
2019-11-20 18:20:08 +08,345,29.40,79.00,3.32,2,"10

",,,,
2019-11-20 18:23:12 +08,346,29.40,79.20,3.23,2,"10

",,,,
2019-11-20 18:24:13 +08,347,29.40,79.30,3.23,2,"10

",,,,
2019-11-20 18:25:14 +08,348,29.40,79.40,3.23,2,"10

",,,,
